date,gold_price,gold_diff,gold_diff_percent,nasdaq_start,nasdaq_end
19990105,1082.0,-15,-0.013673655423883324,2207.75,2251.27
19990106,1078.0,-4,-0.003696857670979714,2286.13,2320.86
19990107,1090.0,12,0.011131725417439675,2293.27,2326.09
19990108,1090.0,0,0,2363.8,2344.41
19990111,1078.0,-12,-0.011009174311926606,2373.97,2384.59
19990112,1069.0,-9,-0.008348794063079756,2395.9,2320.75
19990113,1089.0,20,0.018709073900841977,2222.28,2316.81
19990114,1087.0,-2,-0.0018365472910927272,2337.31,2276.82
19990119,1096.0,0,0,2390.93,2408.17
19990120,1091.0,-5,-0.0045620437956204185,2451.43,2415.49
19990121,1086.0,-5,-0.004582951420714965,2403.52,2344.72
19990122,1095.0,9,0.008287292817679592,2309.34,2338.88
19990125,1100.0,5,0.004566210045662045,2363.48,2369.31
19990126,1096.0,-4,-0.0036363636363636598,2388.97,2433.41
19990127,1088.0,-8,-0.007299270072992692,2455.25,2407.14
19990128,1098.0,10,0.009191176470588314,2442.52,2477.34
19990129,1106.0,8,0.007285974499089187,2486.28,2505.89
19990201,1111.0,5,0.004520795660036159,2522.38,2510.09
19990202,1111.0,0,0,2512.12,2463.42
19990203,1087.0,-24,-0.02160216021602157,2453.23,2493.41
19990204,1089.0,2,0.0018399264029438367,2496.49,2410.07
19990205,1088.0,-1,-0.0009182736455464191,2419.93,2373.62
19990208,1092.0,4,0.003676470588235281,2405.31,2404.92
19990209,1107.0,15,0.013736263736263687,2403.95,2310.79
19990210,1098.0,-9,-0.008130081300813052,2304.25,2309.5
19990212,1102.0,4,0.0036429872495447047,2375.99,2321.89
19990216,1122.0,18,0.016304347826086918,2361.22,2313.87
19990217,1127.0,5,0.004456327985739694,2277.58,2248.91
19990218,1131.0,4,0.003549245785270605,2269.03,2260.55
19990219,1145.0,14,0.012378426171529622,2276.61,2283.6
19990222,1170.0,25,0.02183406113537112,2293.33,2342.01
19990223,1159.0,-11,-0.009401709401709368,2360.68,2376.35
19990224,1158.0,-1,-0.0008628127696289623,2389.75,2339.38
19990225,1168.0,10,0.008635578583765069,2329.39,2326.82
19990226,1145.0,-23,-0.019691780821917804,2320.49,2288.03
19990301,1140.0,-5,-0.004366812227074246,2286.83,2295.18
19990302,1147.0,7,0.0061403508771928905,2303.62,2259.03
19990303,1152.0,5,0.0043591979075849885,2274.04,2265.2
19990304,1171.0,19,0.01649305555555558,2286.29,2292.89
19990305,1187.0,16,0.01366353543979515,2329.58,2337.11
19990308,1184.0,-3,-0.002527379949452402,2357.32,2397.62
19990309,1185.0,1,0.0008445945945945166,2396.52,2392.94
19990310,1174.0,-11,-0.009282700421940904,2407.1,2406.0
19990311,1173.0,-1,-0.0008517887563883608,2419.12,2412.25
19990312,1174.0,1,0.0008525149190110604,2411.48,2381.53
19990315,1161.0,-13,-0.011073253833049357,2392.54,2431.44
19990316,1133.0,-28,-0.024117140396210157,2437.98,2439.27
19990317,1116.0,-17,-0.015004413062665534,2440.22,2428.97
19990318,1126.0,10,0.008960573476702427,2425.36,2462.96
19990319,1117.0,-9,-0.007992895204262829,2480.39,2421.27
19990323,1126.0,9,0.008057296329453845,2388.04,2322.84
19990324,1124.0,-2,-0.001776198934280604,2326.63,2365.28
19990325,1121.0,-3,-0.002669039145907437,2399.72,2434.8
19990326,1118.0,-3,-0.00267618198037467,2425.05,2419.17
19990329,1126.0,8,0.007155635062611854,2442.59,2492.84
19990330,1125.0,-1,-0.000888099467140302,2492.17,2480.29
19990331,1125.0,0,0,2508.34,2461.4
19990401,1113.0,-12,-0.010666666666666713,2493.07,2493.37
19990405,1129.0,2,0.0017746228926354135,2523.98,2560.06
19990406,1132.0,3,0.0026572187776794376,2555.48,2563.17
19990407,1130.0,-2,-0.0017667844522968323,2594.78,2544.43
19990408,1138.0,8,0.0070796460176991705,2553.45,2573.39
19990409,1138.0,0,0,2574.98,2593.05
19990412,1137.0,-1,-0.0008787346221441616,2530.99,2598.81
19990413,1140.0,3,0.0026385224274405594,2626.85,2583.5
19990414,1131.0,-9,-0.007894736842105288,2621.52,2507.28
19990415,1123.0,-8,-0.007073386383731228,2535.19,2521.77
19990416,1128.0,5,0.0044523597506678225,2528.51,2484.04
19990419,1120.0,-8,-0.007092198581560294,2501.71,2345.61
19990420,1124.0,4,0.0035714285714285587,2355.26,2409.64
19990421,1128.0,4,0.003558718861210064,2428.89,2489.08
19990422,1134.0,6,0.005319148936170137,2551.13,2561.61
19990423,1132.0,-2,-0.0017636684303351524,2563.87,2590.69
19990426,1128.0,-4,-0.0035335689045936647,2617.09,2652.05
19990427,1122.0,-6,-0.005319148936170248,2671.57,2602.41
19990428,1130.0,8,0.007130124777183555,2601.13,2550.37
19990430,1137.0,7,0.006194690265486802,2565.87,2542.85
19990506,1154.0,17,0.014951627088830355,2532.41,2472.28
19990507,1163.0,9,0.0077989601386481144,2499.53,2503.62
19990510,1142.0,-21,-0.018056749785038684,2516.84,2526.39
19990511,1119.0,-23,-0.020140105078809145,2553.02,2566.68
19990512,1124.0,5,0.0044682752457552155,2584.57,2606.54
19990513,1124.0,0,0,2621.74,2582.0
19990514,1129.0,5,0.004448398576512469,2549.33,2527.86
19990517,1133.0,4,0.003542958370239102,2517.26,2561.84
19990518,1133.0,0,0,2569.59,2558.36
19990519,1129.0,-4,-0.003530450132391838,2568.44,2577.4
19990520,1133.0,4,0.003542958370239102,2585.46,2542.23
19990521,1140.0,7,0.0061782877316858276,2551.42,2520.14
19990524,1129.0,-11,-0.009649122807017574,2529.3,2453.66
19990525,1120.0,-9,-0.00797165633303809,2454.63,2380.9
19990526,1106.0,-14,-0.012499999999999956,2407.86,2427.18
19990527,1100.0,-6,-0.005424954792043413,2421.1,2419.15
19990528,1090.0,-10,-0.009090909090909038,2427.83,2470.52
19990601,1098.0,0,0,2467.51,2412.03
19990602,1081.0,-17,-0.015482695810564717,2411.32,2432.41
19990603,1078.0,-3,-0.0027752081406104967,2440.75,2403.32
19990604,1082.0,4,0.0037105751391466324,2419.46,2478.34
19990607,1084.0,2,0.001848428835489857,2490.83,2524.21
19990608,1075.0,-9,-0.008302583025830312,2526.11,2474.56
19990609,1048.0,-27,-0.025116279069767433,2495.12,2519.35
19990610,1035.0,-13,-0.012404580152671763,2504.24,2484.62
19990611,1032.0,-3,-0.0028985507246376274,2495.59,2447.88
19990614,1036.0,4,0.003875968992248069,2453.23,2398.31
19990615,1049.0,13,0.012548262548262468,2403.47,2414.67
19990616,1042.0,-7,-0.006673021925643452,2465.01,2517.83
19990617,1040.0,-2,-0.0019193857965451588,2500.35,2544.15
19990618,1036.0,-4,-0.0038461538461538325,2524.81,2563.44
19990621,1053.0,17,0.01640926640926632,2578.2,2630.28
19990622,1060.0,7,0.006647673314339908,2618.34,2580.26
19990623,1057.0,-3,-0.002830188679245338,2569.4,2598.12
19990624,1065.0,8,0.007568590350047311,2596.71,2553.99
19990625,1063.0,-2,-0.00187793427230043,2573.0,2552.65
19990628,1057.0,-6,-0.005644402634054524,2568.47,2602.44
19990629,1059.0,2,0.0018921475875117721,2602.98,2642.11
19990630,1056.0,-3,-0.0028328611898017497,2639.79,2686.12
19990701,1059.0,3,0.0028409090909091717,2692.96,2706.18
19990702,1063.0,4,0.0037771482530688516,2712.9,2741.02
